Tempo;Acel
39.925;0.123617612
39.926;0.133899838
39.927;0.142497227
39.928;0.147413313
39.929;0.151048437
39.93;0.1523467
39.931;0.1529641
39.932;0.148399994
39.933;0.145434186
39.934;0.141752884
39.935;0.137598455
39.936;0.131026357
39.937;0.12230204
39.938;0.116497368
39.939;0.111015812
39.94;0.105661206
39.941;0.102326117
39.942;0.097750463
39.943;0.090901412
39.944;0.084300473
39.945;0.075691551
39.946;0.068005845
39.947;0.060423993
39.948;0.051970866
39.949;0.044435177
39.95;0.034314502
39.951;0.028053997
39.952;0.018833453
39.953;0.012307523
39.954;0.008510828
39.955;0.002919647
39.956;0.000213492
39.957;-0.004200598
39.958;-0.006306668
39.959;-0.00877625
39.96;-0.010039892
39.961;-0.008326186
39.962;-0.005966234
39.963;-0.003052358
39.964;0.001275182
39.965;0.005210358
39.966;0.010288004
39.967;0.015198319
39.968;0.018718051
39.969;0.023207152
39.97;0.025613263
39.971;0.025947927
39.972;0.023224462
39.973;0.019312367
39.974;0.012647956
39.975;0.003681294
39.976;-0.005868143
39.977;-0.015446431
39.978;-0.025670964
39.979;-0.038370851
39.98;-0.050851475
39.981;-0.059564255
39.982;-0.069356032
39.983;-0.076360881
39.984;-0.079453625
39.985;-0.081825115
39.986;-0.081340432
39.987;-0.080140263
39.988;-0.077584133
39.989;-0.07577233
39.99;-0.073146962
39.991;-0.069379114
39.992;-0.06749808
39.993;-0.064976566
39.994;-0.061889585
39.995;-0.057313934
39.996;-0.052640192
39.997;-0.046997078
39.998;-0.042161774
39.999;-0.038601652
40;-0.038324691
40.001;-0.040148027
40.002;-0.043038823
40.003;-0.048756946
40.004;-0.055998363
40.005;-0.066765279
40.006;-0.078732371
40.007;-0.09106297
40.008;-0.100952841
40.009;-0.109100156
40.01;-0.110559978
40.011;-0.108990528
40.012;-0.103491664
40.013;-0.097000353
40.014;-0.087831743
40.015;-0.074699104
40.016;-0.057619747
40.017;-0.038624734
40.018;-0.02087605
40.019;-0.004010187
40.02;0.011967089
40.021;0.022872489
40.022;0.027846275
40.023;0.020281736
40.024;0.001938738
40.025;-0.029323408
40.026;-0.067769267
40.027;-0.111858241
40.028;-0.159051508
40.029;-0.202638477
40.03;-0.243467376
40.031;-0.278151155
40.032;-0.308126599
40.033;-0.329452693
40.034;-0.340121537
40.035;-0.337340355
40.036;-0.320514888
40.037;-0.290464461
40.038;-0.247466028
40.039;-0.193210214
40.04;-0.128752962
40.041;-0.056056064
40.042;0.019168114
40.043;0.089995511
40.044;0.154654726
40.045;0.211853251
40.046;0.25969854
40.047;0.295969099
40.048;0.315702677
40.049;0.319828242
40.05;0.309828758
40.051;0.293407172
40.052;0.273061961
40.053;0.25863108
40.054;0.258071393
40.055;0.278006911
40.056;0.331853032
40.057;0.426781952
40.058;0.57881707
40.059;0.80281049
40.06;1.100060582
40.061;1.453089714
40.062;1.832395673
40.063;2.223691702
40.064;2.603147745
40.065;2.941463232
40.066;3.231916189
40.067;3.467703581
40.068;3.638278008
40.069;3.728354216
40.07;3.740661621
40.071;3.701448441
40.072;3.610166311
40.073;3.529604673
40.074;3.286420107
40.075;3.077976942
40.076;3.131234407
