Tempo;Acel
0;0.024395783
0.001;0.018539179
0.002;0.014609774
0.003;0.014788645
0.004;0.012365223
0.005;0.020247115
0.006;0.012924918
0.007;0.018441088
0.008;0.028042456
0.009;0.024915088
0.01;0.034210641
0.011;0.029444579
0.012;0.030211996
0.013;0.03054666
0.014;0.025347842
0.015;0.025699815
0.016;0.024338083
0.017;0.024845848
0.018;0.034326043
0.019;0.038053498
0.02;0.028792564
0.021;0.016796624
0.022;0.016779313
0.023;-0.001875267
0.024;0.010755379
0.025;0.00984948
0.026;0.017414019
0.027;-0.013605785
0.028;-0.039767202
0.029;0.016963955
0.03;0.037032198
0.031;0.002838866
0.032;-0.004691053
0.033;-0.015636843
0.034;-0.025590183
0.035;-0.014661704
0.036;-0.014609774
0.037;0.032641187
0.038;0.040251888
0.039;0.037378401
0.04;0.052680582
0.041;0.016081138
0.042;0.002111839
0.043;0.01199594
0.044;0.003692834
0.045;-0.017881393
0.046;-0.041030847
0.047;-0.034181792
0.048;0.001523294
0.049;0.044440947
0.05;0.034897279
0.051;0.044129364
0.052;0.066794127
0.053;0.043460038
0.054;0.01645619
0.055;-0.012596025
0.056;0.002942727
0.057;-0.00223878
0.058;0.032439236
0.059;0.063164771
0.06;0.063528277
0.061;0.033004701
0.062;0.029652301
0.063;0.030073514
0.064;0.002261861
0.065;0.008464667
0.066;0.030194687
0.067;0.024413094
0.068;0.017985255
0.069;0.013825046
0.07;0.004085197
0.071;0.015642613
0.072;0.031065963
0.073;-0.00330047
0.074;-0.043356176
0.075;-0.055571377
0.076;-0.066857599
0.077;-0.044481337
0.078;-0.028255949
0.079;-0.03071399
0.08;-0.009912951
0.081;-0.006127796
0.082;0.002527283
0.083;0.001915658
0.084;-0.008291566
0.085;-0.005175737
0.086;-0.016508121
0.087;-0.035370424
0.088;-0.032883532
0.089;-0.02507665
0.09;-0.006289357
0.091;-0.019254666
0.092;-0.023178302
0.093;-0.036651377
0.094;-0.045167971
0.095;-0.033875979
0.096;-0.049039677
0.097;-0.041804031
0.098;-0.060204729
0.099;-0.038936317
0.1;0.007229876
0.101;0.016300399
0.102;0.011967089
0.103;0.009168614
0.104;0.004258299
0.105;-0.008562759
0.106;-0.012596025
0.107;-0.005729662
0.108;-0.003496652
0.109;-0.000657786
0.11;0.003738994
0.111;0.009168614
0.112;0.008360807
0.113;0.004581422
0.114;0.014546303
0.115;-0.016640833
0.116;-0.033575937
0.117;-0.028348269
0.118;-0.025988318
0.119;-0.008337726
0.12;0.008124234
0.121;-0.015048297
0.122;-0.023386024
0.123;-0.020697178
0.124;-0.018758442
0.125;-0.023501424
0.126;-0.037597664
0.127;-0.046541244
0.128;-0.070354253
0.129;-0.075408816
0.13;-0.054250035
0.131;-0.033356674
0.132;-0.019929763
0.133;-0.012319063
0.134;-0.016871635
0.135;-0.027367361
0.136;-0.044112053
0.137;-0.034227952
0.138;-0.036057059
0.139;-0.044406325
0.14;-0.043985114
0.141;-0.036570594
0.142;-0.027130788
0.143;-0.020431757
0.144;-0.03826122
0.145;-0.041313577
0.146;-0.038341999
0.147;-0.031319845
0.148;-0.023945719
0.149;-0.017235147
0.15;-0.00993026
0.151;0.004165978
0.152;0.015856106
0.153;0.022405114
0.154;0.032162275
0.155;0.01855072
0.156;0.017246688
0.157;0.005995085
0.158;-0.007512609
0.159;-0.015642613
0.16;-0.003138909
0.161;0.011615116
0.162;0.026224889
0.163;0.015994586
0.164;0.01427511
0.165;0.01541758
0.166;0.021493446
0.167;0.01850456
0.168;0.018314147
0.169;0.002919647
0.17;0.000680866
0.171;-0.00986679
0.172;-0.009468657
0.173;-0.01531372
0.174;-0.029888874
0.175;-0.017587122
0.176;-0.019012325
0.177;-0.029352259
0.178;-0.024459254
0.179;-0.028192477
0.18;-0.022941729
0.181;-0.002602294
0.182;0.006941373
0.183;0.002498433
0.184;0.017217837
0.185;0.021124164
0.186;0.012515244
0.187;0.002486893
0.188;-0.022653228
0.189;-0.006220117
0.19;-0.02076065
0.191;-0.01759289
0.192;-0.016865864
0.193;-0.014707864
0.194;-5.19305E-05
0.195;0.008124234
0.196;0.022237783
0.197;0.001148241
0.198;0.02302251
0.199;0.008389656
0.2;0.028313648
0.201;0.028215557
0.202;0.008245406
0.203;0.035474285
0.204;0.031342927
0.205;0.046212353
0.206;0.039686423
0.207;0.035174243
0.208;0.055104002
0.209;0.045485325
0.21;0.035076149
0.211;0.047874127
0.212;0.02742506
0.213;0.051832385
0.214;0.03597628
0.215;0.040880825
0.216;0.040228806
0.217;0.020149024
0.218;0.038191978
0.219;0.022416655
0.22;0.020033624
0.221;-0.015631072
0.222;0.000761647
0.223;0.010016812
0.224;-0.009560977
0.225;0.010339934
0.226;0.008949351
0.227;0.011967089
0.228;0.033650946
0.229;-0.000588545
0.23;0.019727811
0.231;-0.010732298
0.232;-0.003733224
0.233;-0.00660094
0.234;-0.007835732
0.235;0.004494871
0.236;-0.010639978
0.237;0.01205941
0.238;-0.003462032
0.239;-0.021631928
0.24;-0.035474285
0.241;-0.030540889
0.242;-0.013357672
0.243;-0.0219262
0.244;-0.015873415
0.245;0.002890796
0.246;-0.001857957
0.247;0.013173031
0.248;0.012382533
0.249;0.011390084
0.25;0.020622168
0.251;0.009335945
0.252;0.013634634
0.253;0.014898276
0.254;0.003958256
0.255;0.011667047
0.256;0.017108206
0.257;0.034643397
0.258;0.012826827
0.259;0.020339437
0.26;0.031660281
0.261;0.026109489
0.262;0.021095313
0.263;0.012134421
0.264;0.01097464
0.265;0.017489029
0.266;0.01531949
0.267;0.014355891
0.268;0.018435318
0.269;-0.002065679
0.27;0.001990668
0.271;-0.014592463
0.272;-0.027269268
0.273;-0.024568884
0.274;-0.036235932
0.275;-0.00657786
0.276;-0.006687491
0.277;-0.016352329
0.278;0.007714561
0.279;-0.004552572
0.28;0.003594743
0.281;-0.02185696
0.282;-0.034920361
0.283;-0.026409531
0.284;-0.04613157
0.285;-0.024257302
0.286;-0.045981549
0.287;-0.044931401
0.288;-0.040603861
0.289;-0.056344565
0.29;-0.043540817
0.291;-0.056609988
0.292;-0.052149735
0.293;-0.041879043
0.294;-0.0402692
0.295;-0.021614617
0.296;-0.034274112
0.297;-0.021072233
0.298;-0.018510329
0.299;-0.026853826
0.3;-0.024297692
0.301;-0.03821506
0.302;-0.0262422
0.303;-0.017506341
0.304;-0.034441445
0.305;-0.019323906
0.306;-0.019329676
0.307;-0.00223878
0.308;0.010062972
0.309;0.014534763
0.31;0.024574654
0.311;0.005106497
0.312;0.022491666
0.313;0.001782946
0.314;-0.000709716
0.315;-0.006329748
0.316;-0.008580068
0.317;-0.000490454
0.318;-0.0153368
0.319;-0.022232013
0.32;-0.027852045
0.321;-0.033218194
0.322;-0.023541816
0.323;-0.029963885
0.324;-0.024643896
0.325;-0.018342998
0.326;-0.002123379
0.327;-0.009953341
0.328;0.003669753
0.329;-0.014679014
0.33;-0.019860521
0.331;-0.020247115
0.332;-0.031567957
0.333;-0.033437457
0.334;-0.045525715
0.335;-0.040182646
0.336;-0.027777035
0.337;-0.042958044
0.338;-0.037955407
0.339;-0.037591893
0.34;-0.036564823
0.341;-0.031002494
0.342;-0.043194614
0.343;-0.03267004
0.344;-0.03374904
0.345;-0.013553854
0.346;-0.015556063
0.347;-0.003421641
0.348;-0.009612908
0.349;-0.01538296
0.35;0.001794486
0.351;0.011234293
0.352;-0.003635133
0.353;0.010357245
0.354;0.010686138
0.355;0.010062972
0.356;0.019993233
0.357;0.008106924
0.358;0.035116542
0.359;0.032277673
0.36;0.027909745
0.361;0.023166763
0.362;0.018014105
0.363;0.017587122
0.364;0.001442513
0.365;0.015209859
0.366;0.013992378
0.367;0.009203234
0.368;0.012099801
0.369;0.013980838
0.37;0.014904046
0.371;-0.012197891
0.372;-0.006947143
0.373;-0.011545875
0.374;-0.009924491
0.375;0.004131358
0.376;-0.007576079
0.377;0.015527212
0.378;0.017079355
